title,views,date,url,keyword
문정아 중국어,800,2015.11.03,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=237783927&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=0,문정아
직장인 HSK자격증 문정아 중국어 어떤가요?,1572,2015.11.17,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=238757534&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=0,문정아
"[내공/hsk6급] 문정아 hsk인강이 책으로 나온다던데, 들어보신분~?",1919,2011.06.21,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=132460820&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=0,문정아
중국어 인강! 중단기와 HSK 문정아 중 어떤 강의가 좋을까요?,1492,2014.03.31,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110805&docId=194601569&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=4&search_sort=0&spq=0,문정아
와우~~ 와하우... 문정아 중국어 1472 사놓고... 삶에 찌들어 이제 다시찾아 보니...ㅠㅜ,1559,2015.10.12,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=236316879&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=5&search_sort=0&spq=0,문정아
문정아 중국어 올패스 평생회원반 질문입니다.,4321,2015.03.04,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=219849767&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=6&search_sort=0&spq=0,문정아
문정아 수업 초등학생이 듣기에 좋은가요?,1835,2012.08.08,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110805&docId=156152526&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=7&search_sort=0&spq=0,문정아
중국어 인강 추천좀!!,683,2014.11.26,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=211749973&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=8&search_sort=0&spq=0,문정아
HSK 4급 공부시작문의,1714,2015.04.23,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=223552898&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=9&search_sort=0&spq=0,문정아
신hsk5급 인강추천,3959,2011.07.22,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=134056062&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=10&search_sort=0&spq=0,문정아
중국어 공부 시작할때 HSK 4급 책으로 시작해도되나요?,5680,2014.07.21,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=202558198&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=11&search_sort=0&spq=0,문정아
HSK 4급 따려고 하는데 좋은 인강좀 추천해주세요^^(내공有),4444,2014.03.27,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=194326821&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=12&search_sort=0&spq=0,문정아
HSK4급 독학 해보신분들 들어와주세요!!,3095,2015.06.17,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=227554920&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=13&search_sort=0&spq=0,문정아
중국어 공부를 하려고 하는데요,731,2012.07.14,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=154705759&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=14&search_sort=0&spq=0,문정아
[★내공70有★]중국어 관련직업!,1931,2011.07.10,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110805&docId=133398977&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=15&search_sort=0&spq=0,문정아
신hsk5급에 대한 질문입니다,351,2013.09.10,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=180331768&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=16&search_sort=0&spq=0,문정아
중국어 처음 배울때,1605,2014.07.22,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110805&docId=202620663&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=17&search_sort=0&spq=0,문정아
책을 찾고 있습니다!!!,454,2013.03.24,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080502&docId=169645793&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=18&search_sort=0&spq=0,문정아
"hsk 5,6급 공부계획 좀 도와주세요..",4121,2011.07.11,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=133450277&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=19&search_sort=0&spq=0,문정아
신hsk6급 작문(쓰기) 꼭봐주세요,6979,2015.03.10,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080507&docId=220265888&qb=66y47KCV7JWE&enc=utf8&section=kin.qna&rank=20&search_sort=0&spq=0,문정아
